office,num,case_year,cat,addr,load_addr,dong,bunji,detail_dong,detail_ho,floor,brand,build_area,land_area,price,lowest,hammer,date,year,month,day,status,low_per,ham_per,comment,floor_cat,build_area_grade,land,date_ym,result,comment_val,gu,dong0,addr_api,Unnamed: 0,addr_name,brand_name,addr_lat,addr_lng
서울동부1계,2020-55340,2020,아파트,"서울특별시 성동구 성수동1가 718, 103동 29층2902호 (성수동1가,트리마제)",,성수동1가,718,103동,2902호,29.0,트리마제,84.5402,37.6321,3100000000,2480000000,,2021-08-02,2021,8,2,유찰1회,80,,,21층 이상,중형,1,202108,0,0,성동구,서울특별시 성동구 성수동1가,서울특별시 성동구 성수동1가 718,5,서울특별시 성동구 성수동1가 718,트리마제아파트,37.53881010587519,127.04481234694944
서울동부4계,2020-55715,2020,아파트,"서울특별시 성동구 홍익동 53, 101동 10층1005호 (홍익동,청계대주파크빌)",,홍익동,53,101동,1005호,10.0,청계대주파크빌,42.47,20.61,391000000,391000000,,2021-08-09,2021,8,9,신건,100,,토지및건물 지분매각,8~12층,소형,1,202108,0,1,성동구,서울특별시 성동구 홍익동,서울특별시 성동구 홍익동 53,645,서울특별시 성동구 홍익동 53,청계대주파크빌아파트,37.56747247983817,127.03138575255244
서울서부6계,2019-52798,2019,아파트,"서울특별시 서대문구 연희동 194-30, 3층비312호 (연희동,브라운스톤 연희)",,연희동,194-30,,비312호,3.0,브라운스톤연희,17.01,7.396,195000000,10720000,,2021-08-10,2021,8,10,유찰13회,5,,대항력있는임차인,지하~3층,소형,1,202108,0,1,서대문구,서울특별시 서대문구 연희동,서울특별시 서대문구 연희동 194-30,222,서울특별시 서대문구 연희동 194-30,브라운스톤연희오피스텔,37.56526929587693,126.930191172111
서울서부3계,2019-54121,2019,아파트,"서울특별시 서대문구 연희동 194-30, 3층비314호 (연희동,브라운스톤 연희)",,연희동,194-30,,비314호,3.0,브라운스톤연희,16.62,7.226,190000000,13058000,,2021-08-10,2021,8,10,유찰12회,7,,대항력있는임차인,지하~3층,소형,1,202108,0,1,서대문구,서울특별시 서대문구 연희동,서울특별시 서대문구 연희동 194-30,222,서울특별시 서대문구 연희동 194-30,브라운스톤연희오피스텔,37.56526929587693,126.930191172111
서울서부6계,2020-2843,2020,아파트,서울특별시 서대문구 홍제동  470 제일아파트 제101동 6층603호,,홍제동,470,제101동,603호,6.0,470제일아파트,80.11,,478000000,478000000,,2021-08-10,2021,8,10,신건,100,,"대지권미등기,대항력있는임차인",4~7층,중형,0,202108,0,1,서대문구,서울특별시 서대문구 홍제동,서울특별시 서대문구 홍제동 470,205,서울특별시 서대문구 홍제동 470,제일아파트,37.58727571414443,126.94291823546072
서울서부6계,2020-50620,2020,아파트,"서울특별시 은평구 구산동 224, 105동 2층202호 (구산동,경남아너스빌)",,구산동,224,105동,202호,2.0,경남아너스빌,84.69,38.886,415000000,415000000,,2021-08-10,2021,8,10,신건,100,,"선순위가등기,선순위임차권",지하~3층,중형,1,202108,0,1,은평구,서울특별시 은평구 구산동,서울특별시 은평구 구산동 224,664,서울특별시 은평구 구산동 224,경남아너스빌아파트,37.60556153457049,126.9053825355327
서울서부6계,2020-53605,2020,아파트,서울특별시 용산구 원효로4가  110-1 나동호 풍전아파트,,원효로4가,110-1,나동,호,2.0,110-1풍전아파트,77.65,,806000000,806000000,,2021-08-10,2021,8,10,신건,100,,"지분매각,건물전부, 토지지분",지하~3층,중형,0,202108,0,1,용산구,서울특별시 용산구 원효로4가,서울특별시 용산구 원효로4가 110-1,293,서울특별시 용산구 원효로4가 110-1,,,
서울서부6계,2020-54691,2020,아파트,"서울특별시 마포구 아현동 732, 101동 5층 503호 (아현동,삼환나띠르빌)",,아현동,732,101동,503호,5.0,삼환나띠르빌,84.9,47.228,964000000,964000000,,2021-08-10,2021,8,10,신건,100,,"공유물분할경매,대항력있는임차인",4~7층,중형,1,202108,0,1,마포구,서울특별시 마포구 아현동,서울특별시 마포구 아현동 732,368,서울특별시 마포구 아현동 732,삼환나띠르빌아파트,37.55133280842522,126.95444343850272
서울서부3계,2020-55205,2020,아파트,"서울특별시 마포구 상암동 1743, 1206동 14층 1403호 (상암동,상암월드컵파크12단지)",,상암동,1743,1206동,1403호,14.0,상암월드컵파크12단지,57.36,51.73,566000000,566000000,,2021-08-10,2021,8,10,신건,100,,토지및건물 지분매각,13~20층,소형,1,202108,0,1,마포구,서울특별시 마포구 상암동,서울특별시 마포구 상암동 1743,755,서울특별시 마포구 상암동 1743,상암월드컵파크12단지아파트,37.58641584239984,126.88001828221353
서울중앙21계,2020-107934,2020,아파트,"서울특별시 관악구 신림동 1563-82, 1동 5층502호",,신림동,1563-82,1동,502호,5.0,1563-82,84.79,39.44,523000000,523000000,,2021-08-10,2021,8,10,신건,100,,,4~7층,중형,1,202108,0,0,관악구,서울특별시 관악구 신림동,서울특별시 관악구 신림동 1563-82,79,서울특별시 관악구 신림동 1563-82,한양아파트,37.473013783934405,126.91504146159107
서울중앙2계,2019-5681,2019,아파트,서울특별시 중구 묵정동  11-2,,묵정동,11-2,,,3.0,11-2,67.77,40.48,392000000,392000000,,2021-08-12,2021,8,12,신건,100,,대지권미등기,지하~3층,중형,1,202108,0,1,중구,서울특별시 중구 묵정동,서울특별시 중구 묵정동 11-2,414,서울특별시 중구 묵정동 11-2,충무아파트,37.56078044510535,127.00068814306536
서울중앙2계,2020-2695,2020,아파트,"서울특별시 서초구 반포동 18-1, 128동 26층2602호 (반포동,래미안퍼스티지)",,반포동,18-1,128동,2602호,26.0,래미안퍼스티지,84.93,42.3503,2850000000,2850000000,,2021-08-12,2021,8,12,신건,100,,,21층 이상,중형,1,202108,0,0,서초구,서울특별시 서초구 반포동,서울특별시 서초구 반포동 18-1,13,서울특별시 서초구 반포동 18-1,래미안퍼스티지아파트,37.5032064667979,126.999398337486
서울중앙2계,2020-105013,2020,아파트,서울특별시 관악구 남현동  1134 예성2차그린캐슬아파트 10층1005호,,남현동,1134,,1005호,10.0,1134예성2차그린캐슬아파트,84.17,,305000000,305000000,,2021-08-12,2021,8,12,신건,100,,건물만매각,8~12층,중형,0,202108,0,1,관악구,서울특별시 관악구 남현동,서울특별시 관악구 남현동 1134,129,서울특별시 관악구 남현동 1134,예성그린캐슬2차아파트,37.47362217393781,126.97616908845023
서울북부1계,2018-12551,2018,아파트,"서울특별시 중랑구 면목동 1527, 101동 12층1204호 (면목동,면목동신성미소지움아파트)",,면목동,1527,101동,1204호,12.0,1527면목동신성미소지움아파트,80.1913,29.927,470000000,376000000,,2021-08-17,2021,8,17,유찰1회,80,,,8~12층,중형,1,202108,0,0,중랑구,서울특별시 중랑구 면목동,서울특별시 중랑구 면목동 1527,655,서울특별시 중랑구 면목동 1527,면목신성미소지움1차아파트,37.58721616429734,127.09609328944109
서울서부1계,2020-2232,2020,아파트,"서울특별시 서대문구 홍제동 247-19, 제지하층",,홍제동,247-19,,,-1.0,제,200.99,84.26,862000000,441344000,,2021-08-17,2021,8,17,유찰3회,51,,"대항력있는임차인,재매각",,초대형,1,202108,0,1,서대문구,서울특별시 서대문구 홍제동,서울특별시 서대문구 홍제동 247-19,344,서울특별시 서대문구 홍제동 247-19,홍일아파트,37.58994573154519,126.94562455181553
서울북부2계,2020-104552,2020,아파트,"서울특별시 도봉구 쌍문동 711, 8층811호 (쌍문동,도봉금강아미움파크타운)",,쌍문동,711,,811호,8.0,도봉금강아미움파크타운,68.2097,21.502,391000000,312800000,,2021-08-17,2021,8,17,유찰1회,80,,대항력있는임차인,8~12층,중형,1,202108,0,1,도봉구,서울특별시 도봉구 쌍문동,서울특별시 도봉구 쌍문동 711,188,서울특별시 도봉구 쌍문동 711,금강아미움파크타운아파트,37.6614075566338,127.03814709836152
서울남부5계,2020-6358,2020,아파트,"서울특별시 강서구 화곡동 1141, 제2층 제205호",,화곡동,1141,,205호,2.0,제제,37.08,17.904,202500000,202500000,,2021-08-18,2021,8,18,유찰,100,,토지및건물 지분매각,지하~3층,소형,1,202108,0,1,강서구,서울특별시 강서구 화곡동,서울특별시 강서구 화곡동 1141,772,서울특별시 강서구 화곡동 1141,화곡삼익아파트,37.52944377442133,126.85129211068464
서울남부5계,2020-5478,2020,아파트,"서울특별시 영등포구 영등포동4가 117-7, 제7층 제705호 (영등포동4가,스퀘어뷰)",,영등포동4가,117-7,,705호,7.0,스퀘어뷰,14.4,5.728,163000000,104320000,,2021-08-18,2021,8,18,유찰2회,64,,,4~7층,소형,1,202108,0,0,영등포구,서울특별시 영등포구 영등포동4가,서울특별시 영등포구 영등포동4가 117-7,207,서울특별시 영등포구 영등포동4가 117-7,스퀘어뷰오피스텔,37.51887974048499,126.90249672785298
서울남부5계,2020-6334,2020,아파트,"서울특별시 구로구 구로동 106-10, 제5층 제509호 (구로동,순영웰라이빌1차)",,구로동,106-10,,509호,5.0,순영웰라이빌1차,32.725,6.587999999999999,130000000,104000000,,2021-08-18,2021,8,18,유찰1회,80,,,4~7층,소형,1,202108,0,0,구로구,서울특별시 구로구 구로동,서울특별시 구로구 구로동 106-10,426,서울특별시 구로구 구로동 106-10,순영웰라이빌1차오피스텔,37.498004825505134,126.8916472099548
서울남부9계,2020-113218,2020,아파트,"서울특별시 금천구 시흥동 1006, 제103동 제13층 제1302호 (시흥동, 벽산타운3단지)",,시흥동,1006,제103동,1302호,13.0,벽산타운3단지,59.94,27.72,400000000,320000000,,2021-08-18,2021,8,18,유찰1회,80,,,13~20층,소형,1,202108,0,0,금천구,서울특별시 금천구 시흥동,서울특별시 금천구 시흥동 1006,685,서울특별시 금천구 시흥동 1006,벽산타운3단지아파트,37.45309975044128,126.91776288312364
서울서부7계,2019-55278,2019,아파트,"서울특별시 서대문구 연희동 194-30, 3층비315호 (연희동,브라운스톤 연희)",,연희동,194-30,,비315호,3.0,브라운스톤연희,16.93,7.3610000000000015,192000000,25770000,,2021-08-24,2021,8,24,유찰9회,13,,대항력있는임차인,지하~3층,소형,1,202108,0,1,서대문구,서울특별시 서대문구 연희동,서울특별시 서대문구 연희동 194-30,222,서울특별시 서대문구 연희동 194-30,브라운스톤연희오피스텔,37.56526929587693,126.930191172111
서울남부1계,2020-111298,2020,아파트,"서울특별시 강서구 화곡동 1050-8, 제3층 제304호 (화곡동, 삼호파크빌)",,화곡동,1050-8,,304호,3.0,삼파크빌,46.32,27.44,290000000,232000000,,2021-08-24,2021,8,24,유찰1회,80,,,지하~3층,소형,1,202108,0,0,강서구,서울특별시 강서구 화곡동,서울특별시 강서구 화곡동 1050-8,381,서울특별시 강서구 화곡동 1050-8,,,
서울남부11계,2018-107678,2018,아파트,"서울특별시 강서구 화곡동 938-26, 6층602호 (화곡동,한경빌)",,화곡동,938-26,,602호,6.0,한경빌,11.21,3.31,61000000,39040000,,2021-08-25,2021,8,25,유찰2회,64,,토지및건물 지분매각,4~7층,소형,1,202108,0,1,강서구,서울특별시 강서구 화곡동,서울특별시 강서구 화곡동 938-26,644,서울특별시 강서구 화곡동 938-26,,,
서울남부11계,2020-112383,2020,아파트,"서울특별시 구로구 고척동 335, 제101동 제3층 제301호 (고척동, 예주유니츠아파트)",,고척동,335,제101동,301호,3.0,예주유니츠아파트,39.15,19.58,226000000,180800000,,2021-08-25,2021,8,25,유찰1회,80,,토지및건물 지분매각,지하~3층,소형,1,202108,0,1,구로구,서울특별시 구로구 고척동,서울특별시 구로구 고척동 335,364,서울특별시 구로구 고척동 335,예주유니츠아파트,37.50656299319736,126.8610595361016
