case_year,dong,floor_cat,build_area_cat,land,price,lowest,hammer,year,date_ym,low_per,ham_per,comment
2020,서울특별시 양천구 신월동,지하~3층,21~60m2,1,212000000,135680000,188100000.0,2021,202107,64,89.0,
2020,서울특별시 영등포구 영등포동1가,8~12층,6~20m2,1,143000000,114400000,120660000.0,2021,202107,80,84.0,선순위전세권
2020,서울특별시 마포구 서교동,13~20층,86~150m2,1,1733000000,1733000000,1869999999.0,2021,202107,100,108.0,법정지상권
2020,서울특별시 강남구 청담동,8~12층,151m2 이상,1,3440000000,3440000000,3953999000.0,2021,202107,100,115.0,
2020,서울특별시 서초구 반포동,지하~3층,151m2 이상,1,1860000000,1190400000,1595000000.0,2021,202107,64,86.0,
2020,서울특별시 마포구 망원동,4~7층,21~60m2,1,340000000,340000000,430100000.0,2021,202107,100,127.0,
2020,서울특별시 용산구 이촌동,8~12층,151m2 이상,1,1620000000,1620000000,1700000000.0,2021,202107,100,105.0,
2020,서울특별시 강북구 수유동,8~12층,6~20m2,1,110000000,70400000,91336000.0,2021,202107,64,83.0,
2020,서울특별시 중랑구 망우동,지하~3층,61~85m2,1,344000000,344000000,420000001.0,2021,202107,100,122.0,
2020,서울특별시 노원구 월계동,4~7층,21~60m2,1,215000000,215000000,249000100.0,2021,202107,100,116.0,토지및건물 지분매각
2019,서울특별시 강북구 미아동,4~7층,151m2 이상,1,403000000,403000000,603000000.0,2021,202106,100,150.0,
2020,서울특별시 광진구 자양동,8~12층,61~85m2,1,935000000,935000000,1297999990.0,2021,202106,100,139.0,
2020,서울특별시 성북구 정릉동,8~12층,21~60m2,1,272000000,217600000,302500000.0,2021,202106,80,111.0,토지및건물 지분매각
2020,서울특별시 성북구 종암동,8~12층,61~85m2,1,570000000,570000000,581110000.0,2021,202106,100,102.0,
2019,서울특별시 구로구 신도림동,지하~3층,61~85m2,1,422000000,422000000,851770000.0,2021,202106,100,202.0,
2020,서울특별시 관악구 봉천동,지하~3층,61~85m2,1,730000000,730000000,803700000.0,2021,202106,100,110.0,대항력있는임차인
2020,서울특별시 강남구 일원동,4~7층,6~20m2,1,1010000000,1010000000,1010000000.0,2021,202106,100,100.0,토지및건물 지분매각
2020,서울특별시 양천구 목동,4~7층,61~85m2,1,566000000,566000000,731000000.0,2021,202106,100,129.0,대항력있는임차인
2019,서울특별시 동대문구 장안동,4~7층,86~150m2,1,460000000,460000000,560000000.0,2021,202106,100,122.0,
2020,서울특별시 송파구 신천동,지하~3층,86~150m2,1,2042000000,2042000000,2503000000.0,2021,202106,100,123.0,공유물분할경매
2020,서울특별시 성북구 돈암동,4~7층,61~85m2,1,710000000,710000000,787920000.0,2021,202106,100,111.0,
2020,서울특별시 중랑구 신내동,13~20층,21~60m2,1,68000000,68000000,80888800.0,2021,202106,100,119.0,형식적경매
