,case_year,gu,dong,dong0,bunji,floor_cat,build_area_grade,land,price,lowest,hammer,year,date_ym,low_per,ham_per,comment_val,result,dong1,"('brand_name', 0)","('addr_lat', 0)","('addr_lng', 0)"
0,2020,성동구,성수동1가,서울특별시 성동구 성수동1가,718,21층 이상,중형,1,3100000000,2480000000,,2021,202108,80,,0,0,서울특별시 성동구 성수동1가 718,래미안라센트아파트,37.599480756187695,127.03883000318879
1,2020,성동구,홍익동,서울특별시 성동구 홍익동,53,8~12층,소형,1,391000000,391000000,,2021,202108,100,,1,0,서울특별시 성동구 홍익동 53,래미안라센트아파트,37.599480756187695,127.03883000318879
2,2019,서대문구,연희동,서울특별시 서대문구 연희동,194-30,지하~3층,소형,1,195000000,10720000,,2021,202108,5,,1,0,서울특별시 서대문구 연희동 194-30,래미안라센트아파트,37.599480756187695,127.03883000318879
3,2019,서대문구,연희동,서울특별시 서대문구 연희동,194-30,지하~3층,소형,1,190000000,13058000,,2021,202108,7,,1,0,서울특별시 서대문구 연희동 194-30,래미안라센트아파트,37.599480756187695,127.03883000318879
4,2020,서대문구,홍제동,서울특별시 서대문구 홍제동,470,4~7층,중형,0,478000000,478000000,,2021,202108,100,,1,0,서울특별시 서대문구 홍제동 470,래미안라센트아파트,37.599480756187695,127.03883000318879
5,2020,은평구,구산동,서울특별시 은평구 구산동,224,지하~3층,중형,1,415000000,415000000,,2021,202108,100,,1,0,서울특별시 은평구 구산동 224,래미안라센트아파트,37.599480756187695,127.03883000318879
6,2020,용산구,원효로4가,서울특별시 용산구 원효로4가,110-1,지하~3층,중형,0,806000000,806000000,,2021,202108,100,,1,0,서울특별시 용산구 원효로4가 110-1,래미안라센트아파트,37.599480756187695,127.03883000318879
7,2020,마포구,아현동,서울특별시 마포구 아현동,732,4~7층,중형,1,964000000,964000000,,2021,202108,100,,1,0,서울특별시 마포구 아현동 732,래미안라센트아파트,37.599480756187695,127.03883000318879
8,2020,마포구,상암동,서울특별시 마포구 상암동,1743,13~20층,소형,1,566000000,566000000,,2021,202108,100,,1,0,서울특별시 마포구 상암동 1743,래미안라센트아파트,37.599480756187695,127.03883000318879
9,2020,관악구,신림동,서울특별시 관악구 신림동,1563-82,4~7층,중형,1,523000000,523000000,,2021,202108,100,,0,0,서울특별시 관악구 신림동 1563-82,래미안라센트아파트,37.599480756187695,127.03883000318879
10,2019,중구,묵정동,서울특별시 중구 묵정동,11-2,지하~3층,중형,1,392000000,392000000,,2021,202108,100,,1,0,서울특별시 중구 묵정동 11-2,래미안라센트아파트,37.599480756187695,127.03883000318879
11,2020,서초구,반포동,서울특별시 서초구 반포동,18-1,21층 이상,중형,1,2850000000,2850000000,,2021,202108,100,,0,0,서울특별시 서초구 반포동 18-1,래미안라센트아파트,37.599480756187695,127.03883000318879
12,2020,관악구,남현동,서울특별시 관악구 남현동,1134,8~12층,중형,0,305000000,305000000,,2021,202108,100,,1,0,서울특별시 관악구 남현동 1134,래미안라센트아파트,37.599480756187695,127.03883000318879
13,2018,중랑구,면목동,서울특별시 중랑구 면목동,1527,8~12층,중형,1,470000000,376000000,,2021,202108,80,,0,0,서울특별시 중랑구 면목동 1527,래미안라센트아파트,37.599480756187695,127.03883000318879
14,2020,서대문구,홍제동,서울특별시 서대문구 홍제동,247-19,,초대형,1,862000000,441344000,,2021,202108,51,,1,0,서울특별시 서대문구 홍제동 247-19,래미안라센트아파트,37.599480756187695,127.03883000318879
15,2020,도봉구,쌍문동,서울특별시 도봉구 쌍문동,711,8~12층,중형,1,391000000,312800000,,2021,202108,80,,1,0,서울특별시 도봉구 쌍문동 711,래미안라센트아파트,37.599480756187695,127.03883000318879
16,2020,강서구,화곡동,서울특별시 강서구 화곡동,1141,지하~3층,소형,1,202500000,202500000,,2021,202108,100,,1,0,서울특별시 강서구 화곡동 1141,래미안라센트아파트,37.599480756187695,127.03883000318879
17,2020,영등포구,영등포동4가,서울특별시 영등포구 영등포동4가,117-7,4~7층,소형,1,163000000,104320000,,2021,202108,64,,0,0,서울특별시 영등포구 영등포동4가 117-7,래미안라센트아파트,37.599480756187695,127.03883000318879
18,2020,구로구,구로동,서울특별시 구로구 구로동,106-10,4~7층,소형,1,130000000,104000000,,2021,202108,80,,0,0,서울특별시 구로구 구로동 106-10,래미안라센트아파트,37.599480756187695,127.03883000318879
19,2020,금천구,시흥동,서울특별시 금천구 시흥동,1006,13~20층,소형,1,400000000,320000000,,2021,202108,80,,0,0,서울특별시 금천구 시흥동 1006,래미안라센트아파트,37.599480756187695,127.03883000318879
20,2019,서대문구,연희동,서울특별시 서대문구 연희동,194-30,지하~3층,소형,1,192000000,25770000,,2021,202108,13,,1,0,서울특별시 서대문구 연희동 194-30,래미안라센트아파트,37.599480756187695,127.03883000318879
21,2020,강서구,화곡동,서울특별시 강서구 화곡동,1050-8,지하~3층,소형,1,290000000,232000000,,2021,202108,80,,0,0,서울특별시 강서구 화곡동 1050-8,래미안라센트아파트,37.599480756187695,127.03883000318879
22,2018,강서구,화곡동,서울특별시 강서구 화곡동,938-26,4~7층,소형,1,61000000,39040000,,2021,202108,64,,1,0,서울특별시 강서구 화곡동 938-26,래미안라센트아파트,37.599480756187695,127.03883000318879
23,2020,구로구,고척동,서울특별시 구로구 고척동,335,지하~3층,소형,1,226000000,180800000,,2021,202108,80,,1,0,서울특별시 구로구 고척동 335,래미안라센트아파트,37.599480756187695,127.03883000318879
24,2020,강서구,가양동,서울특별시 강서구 가양동,1474,4~7층,대형,1,1070000000,1070000000,,2021,202109,100,,0,0,서울특별시 강서구 가양동 1474,래미안라센트아파트,37.599480756187695,127.03883000318879
25,2020,강서구,화곡동,서울특별시 강서구 화곡동,924-15,8~12층,소형,1,181000000,144800000,,2021,202109,80,,1,0,서울특별시 강서구 화곡동 924-15,래미안라센트아파트,37.599480756187695,127.03883000318879
26,2020,강서구,화곡동,서울특별시 강서구 화곡동,351-24,4~7층,소형,1,261000000,208800000,,2021,202109,80,,1,0,서울특별시 강서구 화곡동 351-24,래미안라센트아파트,37.599480756187695,127.03883000318879
27,2020,금천구,시흥동,서울특별시 금천구 시흥동,801-3,4~7층,소형,1,178000000,91136000,,2021,202109,51,,1,0,서울특별시 금천구 시흥동 801-3,래미안라센트아파트,37.599480756187695,127.03883000318879
28,2020,양천구,신월동,서울특별시 양천구 신월동,98-9,지하~3층,소형,1,212000000,135680000,188100000.0,2021,202107,64,89.0,0,1,서울특별시 양천구 신월동 98-9,래미안라센트아파트,37.599480756187695,127.03883000318879
29,2020,영등포구,영등포동1가,서울특별시 영등포구 영등포동1가,75-4,8~12층,소형,1,143000000,114400000,120660000.0,2021,202107,80,84.0,1,1,서울특별시 영등포구 영등포동1가 75-4,래미안라센트아파트,37.599480756187695,127.03883000318879
30,2020,마포구,서교동,서울특별시 마포구 서교동,490,13~20층,초대형,1,1733000000,1733000000,1869999999.0,2021,202107,100,108.0,1,1,서울특별시 마포구 서교동 490,래미안라센트아파트,37.599480756187695,127.03883000318879
31,2020,강남구,청담동,서울특별시 강남구 청담동,69-18,8~12층,초대형,1,3440000000,3440000000,3953999000.0,2021,202107,100,115.0,0,1,서울특별시 강남구 청담동 69-18,래미안라센트아파트,37.599480756187695,127.03883000318879
32,2020,서초구,반포동,서울특별시 서초구 반포동,88-4,지하~3층,초대형,1,1860000000,1190400000,1595000000.0,2021,202107,64,86.0,0,1,서울특별시 서초구 반포동 88-4,래미안라센트아파트,37.599480756187695,127.03883000318879
33,2020,마포구,망원동,서울특별시 마포구 망원동,412-19,4~7층,소형,1,340000000,340000000,430100000.0,2021,202107,100,127.0,0,1,서울특별시 마포구 망원동 412-19,래미안라센트아파트,37.599480756187695,127.03883000318879
34,2020,용산구,이촌동,서울특별시 용산구 이촌동,300-10,8~12층,초대형,1,1620000000,1620000000,1700000000.0,2021,202107,100,105.0,0,1,서울특별시 용산구 이촌동 300-10,래미안라센트아파트,37.599480756187695,127.03883000318879
35,2020,강북구,수유동,서울특별시 강북구 수유동,733,8~12층,소형,1,110000000,70400000,91336000.0,2021,202107,64,83.0,0,1,서울특별시 강북구 수유동 733,래미안라센트아파트,37.599480756187695,127.03883000318879
36,2020,중랑구,망우동,서울특별시 중랑구 망우동,579,지하~3층,중형,1,344000000,344000000,420000001.0,2021,202107,100,122.0,0,1,서울특별시 중랑구 망우동 579,래미안라센트아파트,37.599480756187695,127.03883000318879
37,2020,노원구,월계동,서울특별시 노원구 월계동,939,4~7층,소형,1,215000000,215000000,249000100.0,2021,202107,100,116.0,1,1,서울특별시 노원구 월계동 939,래미안라센트아파트,37.599480756187695,127.03883000318879
38,2019,강북구,미아동,서울특별시 강북구 미아동,8-87,4~7층,초대형,1,403000000,403000000,603000000.0,2021,202106,100,150.0,0,1,서울특별시 강북구 미아동 8-87,래미안라센트아파트,37.599480756187695,127.03883000318879
39,2020,광진구,자양동,서울특별시 광진구 자양동,784-1,8~12층,중형,1,935000000,935000000,1297999990.0,2021,202106,100,139.0,0,1,서울특별시 광진구 자양동 784-1,래미안라센트아파트,37.599480756187695,127.03883000318879
40,2020,성북구,정릉동,서울특별시 성북구 정릉동,1024,8~12층,소형,1,272000000,217600000,302500000.0,2021,202106,80,111.0,1,1,서울특별시 성북구 정릉동 1024,래미안라센트아파트,37.599480756187695,127.03883000318879
41,2020,성북구,종암동,서울특별시 성북구 종암동,3-91,8~12층,중형,1,570000000,570000000,581110000.0,2021,202106,100,102.0,0,1,서울특별시 성북구 종암동 3-91,래미안라센트아파트,37.599480756187695,127.03883000318879
42,2019,구로구,신도림동,서울특별시 구로구 신도림동,290,지하~3층,중형,1,422000000,422000000,851770000.0,2021,202106,100,202.0,0,1,서울특별시 구로구 신도림동 290,래미안라센트아파트,37.599480756187695,127.03883000318879
43,2020,관악구,봉천동,서울특별시 관악구 봉천동,1727,지하~3층,중형,1,730000000,730000000,803700000.0,2021,202106,100,110.0,1,1,서울특별시 관악구 봉천동 1727,래미안라센트아파트,37.599480756187695,127.03883000318879
44,2020,강남구,일원동,서울특별시 강남구 일원동,718,4~7층,,1,1010000000,1010000000,1010000000.0,2021,202106,100,100.0,1,1,서울특별시 강남구 일원동 718,래미안라센트아파트,37.599480756187695,127.03883000318879
45,2020,양천구,목동,서울특별시 양천구 목동,954,4~7층,중형,1,566000000,566000000,731000000.0,2021,202106,100,129.0,1,1,서울특별시 양천구 목동 954,래미안라센트아파트,37.599480756187695,127.03883000318879
46,2019,동대문구,장안동,서울특별시 동대문구 장안동,378-3,4~7층,대형,1,460000000,460000000,560000000.0,2021,202106,100,122.0,0,1,서울특별시 동대문구 장안동 378-3,래미안라센트아파트,37.599480756187695,127.03883000318879
47,2020,송파구,신천동,서울특별시 송파구 신천동,17,지하~3층,대형,1,2042000000,2042000000,2503000000.0,2021,202106,100,123.0,1,1,서울특별시 송파구 신천동 17,래미안라센트아파트,37.599480756187695,127.03883000318879
48,2020,성북구,돈암동,서울특별시 성북구 돈암동,609-1,4~7층,중형,1,710000000,710000000,787920000.0,2021,202106,100,111.0,0,1,서울특별시 성북구 돈암동 609-1,래미안라센트아파트,37.599480756187695,127.03883000318879
49,2020,중랑구,신내동,서울특별시 중랑구 신내동,317,13~20층,소형,1,68000000,68000000,80888800.0,2021,202106,100,119.0,1,1,서울특별시 중랑구 신내동 317,래미안라센트아파트,37.599480756187695,127.03883000318879
50,2020,강동구,명일동,서울특별시 강동구 명일동,44,13~20층,대형,1,1800000000,1440000000,1765800000.0,2021,202106,80,98.0,0,1,서울특별시 강동구 명일동 44,래미안라센트아파트,37.599480756187695,127.03883000318879
51,2020,성북구,정릉동,서울특별시 성북구 정릉동,435,8~12층,중형,1,690000000,441600000,716923000.0,2021,202106,64,104.0,0,1,서울특별시 성북구 정릉동 435,래미안라센트아파트,37.599480756187695,127.03883000318879
52,2020,노원구,월계동,서울특별시 노원구 월계동,448-3,4~7층,소형,1,116000000,116000000,143888800.0,2021,202106,100,124.0,1,1,서울특별시 노원구 월계동 448-3,래미안라센트아파트,37.599480756187695,127.03883000318879
53,2020,강서구,화곡동,서울특별시 강서구 화곡동,1160,4~7층,중형,1,300000000,300000000,379000000.0,2021,202106,100,126.0,1,1,서울특별시 강서구 화곡동 1160,래미안라센트아파트,37.599480756187695,127.03883000318879
54,2019,강남구,도곡동,서울특별시 강남구 도곡동,527,지하~3층,대형,1,2235000000,2235000000,2948999000.0,2021,202106,100,132.0,1,1,서울특별시 강남구 도곡동 527,래미안라센트아파트,37.599480756187695,127.03883000318879
55,2020,서초구,방배동,서울특별시 서초구 방배동,881-26,8~12층,중형,1,935000000,935000000,941111000.0,2021,202106,100,101.0,1,1,서울특별시 서초구 방배동 881-26,래미안라센트아파트,37.599480756187695,127.03883000318879
56,2020,강서구,화곡동,서울특별시 강서구 화곡동,353-50,4~7층,소형,1,150000000,120000000,140133000.0,2021,202106,80,93.0,1,1,서울특별시 강서구 화곡동 353-50,래미안라센트아파트,37.599480756187695,127.03883000318879
57,2020,강남구,대치동,서울특별시 강남구 대치동,511,4~7층,초대형,1,2930000000,2930000000,3661227000.0,2021,202106,100,125.0,0,1,서울특별시 강남구 대치동 511,래미안라센트아파트,37.599480756187695,127.03883000318879
58,2020,서대문구,홍제동,서울특별시 서대문구 홍제동,454,지하~3층,중형,1,425000000,425000000,501150000.0,2021,202106,100,118.0,1,1,서울특별시 서대문구 홍제동 454,래미안라센트아파트,37.599480756187695,127.03883000318879
59,2020,서대문구,홍제동,서울특별시 서대문구 홍제동,461,8~12층,소형,1,508000000,508000000,541050000.0,2021,202106,100,107.0,0,1,서울특별시 서대문구 홍제동 461,래미안라센트아파트,37.599480756187695,127.03883000318879
60,2020,서대문구,홍제동,서울특별시 서대문구 홍제동,455,4~7층,중형,1,690000000,690000000,732120000.0,2021,202106,100,106.0,0,1,서울특별시 서대문구 홍제동 455,래미안라센트아파트,37.599480756187695,127.03883000318879
61,2020,송파구,가락동,서울특별시 송파구 가락동,95-1,13~20층,소형,1,1025000000,1025000000,1025000000.0,2021,202106,100,100.0,0,1,서울특별시 송파구 가락동 95-1,래미안라센트아파트,37.599480756187695,127.03883000318879
62,2020,송파구,문정동,서울특별시 송파구 문정동,1,13~20층,대형,1,1450000000,1450000000,1791000000.0,2021,202106,100,124.0,0,1,서울특별시 송파구 문정동 1,래미안라센트아파트,37.599480756187695,127.03883000318879
63,2020,강동구,성내동,서울특별시 강동구 성내동,542,지하~3층,대형,1,700000000,700000000,720000000.0,2021,202106,100,103.0,0,1,서울특별시 강동구 성내동 542,래미안라센트아파트,37.599480756187695,127.03883000318879
