office,num,cat,addr,build_area,land_area,price,lowest,result,date,status,low_per,res_per,comment
서울남부3계,2020-5706,아파트,"서울특별시 양천구 신월동 98-9, 제2층 제202호 (신월동,하나하이츠)",53.58㎡ (16.21평),30.72㎡ (9.29평),"212,000,000","135,680,000","188,100,000",2021-07-21(10:00),매각,64%,89%,
서울남부4계,2020-110424,아파트,"서울특별시 영등포구 영등포동1가 75-4, 제9층 제902호 (영등포동1가, 메트로가든)",12.97㎡ (3.92평),5.22㎡ (1.58평),"143,000,000","114,400,000","120,660,000",2021-07-14(10:00),매각,80%,84%,선순위전세권
서울서부1계,2020-3808,아파트,"서울특별시 마포구 서교동 490, 아파트동 14층101동1406호 (서교동,메세나폴리스)",142.034㎡ (42.97평),26.39㎡ (7.98평),"1,733,000,000","1,733,000,000","1,869,999,999",2021-07-13(10:00),매각,100%,108%,법정지상권
서울중앙2계,2020-1845,아파트,"서울특별시 강남구 청담동 69-18, 101동 12층1203호 (청담동,청담동양파라곤)",171.1005㎡ (51.76평),87.666㎡ (26.52평),"3,440,000,000","3,440,000,000","3,953,999,000",2021-07-08(10:00),매각,100%,115%,
서울중앙2계,2020-101356,아파트,"서울특별시 서초구 반포동 88-4, 2층 202호 (반포동,서래아르드빌)",200.4㎡ (60.62평),86.73㎡ (26.24평),"1,860,000,000","1,190,400,000","1,595,000,000",2021-07-08(10:00),매각,64%,86%,
서울서부6계,2020-3426,아파트,"서울특별시 마포구 망원동 412-19, 5층501호 (망원동,뉴서울아파트)",53.01㎡ (16.04평),25.43㎡ (7.69평),"340,000,000","340,000,000","430,100,000",2021-07-06(10:00),매각,100%,127%,
서울서부3계,2020-3471,아파트,"서울특별시 용산구 이촌동 300-10, 8층802호",177.62㎡ (53.73평),33.058㎡ (10평),"1,620,000,000","1,620,000,000","1,700,000,000",2021-07-06(10:00),매각,100%,105%,
서울서부3계,2020-55205,아파트,"서울특별시 마포구 상암동 1743, 1206동 14층 1403호 (상암동,상암월드컵파크12단지)",57.36㎡ (17.35평),51.73㎡ (15.65평),"566,000,000","566,000,000","597,000,000",2021-07-06(10:00),매각,100%,105%,토지및건물 지분매각
서울북부3계,2020-4324,아파트,"서울특별시 강북구 수유동 733, 9층917호 (수유동,하이시티)",12.19㎡ (3.69평),3.09㎡ (0.93평),"110,000,000","70,400,000","91,336,000",2021-07-05(10:00),매각,64%,83%,
서울북부3계,2020-5662,아파트,"서울특별시 중랑구 망우동 579, 101동 1층102호 (망우동,한울네세창아파트)",84.76㎡ (25.64평),51.05㎡ (15.44평),"344,000,000","344,000,000","420,000,001",2021-07-05(10:00),매각,100%,122%,
