office,num,case_year,cat,addr,load_addr,dong,bunji,detail_dong,detail_ho,floor,brand,build_area,land_area,price,lowest,hammer,date,year,month,day,status,low_per,ham_per,comment
서울동부1계,2020-55340,2020,아파트,"서울특별시 성동구 성수동1가 718, 103동 29층2902호 (성수동1가,트리마제)",,서울특별시 성동구 성수동1가,718,103동,2902호,29.0,트리마제,84.5402,37.6321,3100000000,2480000000,,2021-08-02,2021,8,2,유찰1회,80,,
서울동부4계,2020-55715,2020,아파트,"서울특별시 성동구 홍익동 53, 101동 10층1005호 (홍익동,청계대주파크빌)",,서울특별시 성동구 홍익동,53,101동,1005호,10.0,청계대주파크빌,42.47,20.61,391000000,391000000,,2021-08-09,2021,8,9,신건,100,,토지및건물 지분매각
서울서부6계,2019-52798,2019,아파트,"서울특별시 서대문구 연희동 194-30, 3층비312호 (연희동,브라운스톤 연희)",,서울특별시 서대문구 연희동,194-30,,비312호,3.0,브라운스톤연희,17.01,7.396,195000000,10720000,,2021-08-10,2021,8,10,유찰13회,5,,대항력있는임차인
서울서부3계,2019-54121,2019,아파트,"서울특별시 서대문구 연희동 194-30, 3층비314호 (연희동,브라운스톤 연희)",,서울특별시 서대문구 연희동,194-30,,비314호,3.0,브라운스톤연희,16.62,7.226,190000000,13058000,,2021-08-10,2021,8,10,유찰12회,7,,대항력있는임차인
서울서부6계,2020-2843,2020,아파트,서울특별시 서대문구 홍제동  470 제일아파트 제101동 6층603호,,서울특별시 서대문구 홍제동,470,제101동,603호,6.0,470제일아파트,80.11,,478000000,478000000,,2021-08-10,2021,8,10,신건,100,,"대지권미등기,대항력있는임차인"
서울서부6계,2020-50620,2020,아파트,"서울특별시 은평구 구산동 224, 105동 2층202호 (구산동,경남아너스빌)",,서울특별시 은평구 구산동,224,105동,202호,2.0,경남아너스빌,84.69,38.885999999999996,415000000,415000000,,2021-08-10,2021,8,10,신건,100,,"선순위가등기,선순위임차권"
서울서부6계,2020-53605,2020,아파트,서울특별시 용산구 원효로4가  110-1 나동호 풍전아파트,,서울특별시 용산구 원효로4가,110-1,나동,호,2.0,110-1풍전아파트,77.65,,806000000,806000000,,2021-08-10,2021,8,10,신건,100,,"지분매각,건물전부, 토지지분"
서울서부6계,2020-54691,2020,아파트,"서울특별시 마포구 아현동 732, 101동 5층 503호 (아현동,삼환나띠르빌)",,서울특별시 마포구 아현동,732,101동,503호,5.0,삼환나띠르빌,84.9,47.228,964000000,964000000,,2021-08-10,2021,8,10,신건,100,,"공유물분할경매,대항력있는임차인"
서울서부3계,2020-55205,2020,아파트,"서울특별시 마포구 상암동 1743, 1206동 14층 1403호 (상암동,상암월드컵파크12단지)",,서울특별시 마포구 상암동,1743,1206동,1403호,14.0,상암월드컵파크12단지,57.36,51.73,566000000,566000000,,2021-08-10,2021,8,10,신건,100,,토지및건물 지분매각
서울중앙21계,2020-107934,2020,아파트,"서울특별시 관악구 신림동 1563-82, 1동 5층502호",,서울특별시 관악구 신림동,1563-82,1동,502호,5.0,1563-82,84.79,39.44,523000000,523000000,,2021-08-10,2021,8,10,신건,100,,
서울중앙2계,2019-5681,2019,아파트,서울특별시 중구 묵정동  11-2,,서울특별시 중구 묵정동,11-2,,,3.0,11-2,67.77,40.48,392000000,392000000,,2021-08-12,2021,8,12,신건,100,,대지권미등기
서울중앙2계,2020-2695,2020,아파트,"서울특별시 서초구 반포동 18-1, 128동 26층2602호 (반포동,래미안퍼스티지)",,서울특별시 서초구 반포동,18-1,128동,2602호,26.0,래미안퍼스티지,84.93,42.3503,2850000000,2850000000,,2021-08-12,2021,8,12,신건,100,,
서울중앙2계,2020-105013,2020,아파트,서울특별시 관악구 남현동  1134 예성2차그린캐슬아파트 10층1005호,,서울특별시 관악구 남현동,1134,,1005호,10.0,1134예성2차그린캐슬아파트,84.17,,305000000,305000000,,2021-08-12,2021,8,12,신건,100,,건물만매각
서울북부1계,2018-12551,2018,아파트,"서울특별시 중랑구 면목동 1527, 101동 12층1204호 (면목동,면목동신성미소지움아파트)",,서울특별시 중랑구 면목동,1527,101동,1204호,12.0,1527면목동신성미소지움아파트,80.1913,29.927,470000000,376000000,,2021-08-17,2021,8,17,유찰1회,80,,
