load_addr,years_use
서울특별시 강남구 강남대로 240,16.0
서울특별시 강남구 강남대로 256,18.0
서울특별시 강남구 강남대로 272,16.0
서울특별시 강남구 강남대로 324,16.0
서울특별시 강남구 강남대로112길 41,26.0
서울특별시 강남구 강남대로120길 58,18.0
서울특별시 강남구 강남대로124길 51,19.0
서울특별시 강남구 강남대로128길 27,26.0
서울특별시 강남구 강남대로132길 26,21.0
서울특별시 강남구 강남대로136길 40,19.0
서울특별시 강남구 강남대로146길 28,25.0
서울특별시 강남구 강남대로162길 27-26,20.0
서울특별시 강남구 강남대로162길 41-8,15.0
서울특별시 강남구 강남대로44길 24,27.0
서울특별시 강남구 강남대로48길 24,14.0
서울특별시 강남구 강남대로54길 6,17.0
서울특별시 강남구 강남대로84길 33,18.0
서울특별시 강남구 강남대로94길 27-7,20.0
서울특별시 강남구 강남대로94길 51-14,16.0
서울특별시 강남구 개포로 264,2.0
서울특별시 강남구 개포로 303,38.0
서울특별시 강남구 개포로 307,38.0
서울특별시 강남구 개포로 310,40.0
서울특별시 강남구 개포로 311,31.0
서울특별시 강남구 개포로 405,19.0
서울특별시 강남구 개포로 409,36.0
서울특별시 강남구 개포로 411,35.0
서울특별시 강남구 개포로 516,39.0
서울특별시 강남구 개포로109길 21,30.0
서울특별시 강남구 개포로109길 69,18.0
서울특별시 강남구 개포로109길 9,30.0
서울특별시 강남구 개포로110길 15,35.0
서울특별시 강남구 개포로110길 21,35.0
서울특별시 강남구 개포로110길 36,39.0
서울특별시 강남구 개포로110길 38,1.0
서울특별시 강남구 개포로110길 43,38.0
서울특별시 강남구 개포로110길 50,4.0
서울특별시 강남구 개포로124길 27,36.0
서울특별시 강남구 개포로15길 32-8,29.0
서울특별시 강남구 개포로28길 28,18.0
서울특별시 강남구 개포로31길 3-12,16.0
서울특별시 강남구 개포로31길 9-5,16.0
서울특별시 강남구 개포로31길 9-9,16.0
서울특별시 강남구 광평로10길 15,29.0
서울특별시 강남구 광평로10길 6,28.0
서울특별시 강남구 광평로19길 10,29.0
서울특별시 강남구 광평로19길 15,29.0
서울특별시 강남구 광평로31길 27,25.0
서울특별시 강남구 광평로34길 35,6.0
서울특별시 강남구 광평로34길 55,8.0
서울특별시 강남구 광평로39길 3,29.0
서울특별시 강남구 광평로47길 17,30.0
서울특별시 강남구 광평로51길 22,29.0
서울특별시 강남구 광평로51길 27,30.0
서울특별시 강남구 남부순환로 2615,15.0
서울특별시 강남구 남부순환로 2740,36.0
서울특별시 강남구 남부순환로 2803,21.0
서울특별시 강남구 남부순환로351길 23,19.0
서울특별시 강남구 남부순환로363길 30,44.0
서울특별시 강남구 남부순환로363길 49,36.0
서울특별시 강남구 남부순환로365길 33,6.0
서울특별시 강남구 남부순환로365길 5,25.0
서울특별시 강남구 남부순환로370길 20,16.0
서울특별시 강남구 남부순환로373길 14,17.0
서울특별시 강남구 남부순환로373길 15,17.0
서울특별시 강남구 남부순환로373길 21,16.0
서울특별시 강남구 남부순환로373길 23,4.0
서울특별시 강남구 남부순환로373길 3,12.0
서울특별시 강남구 남부순환로373길 4,19.0
서울특별시 강남구 남부순환로373길 9,12.0
서울특별시 강남구 남부순환로375길 6,22.0
서울특별시 강남구 남부순환로377길 18,26.0
서울특별시 강남구 남부순환로377길 22,23.0
서울특별시 강남구 남부순환로377길 25,24.0
서울특별시 강남구 남부순환로377길 26,24.0
서울특별시 강남구 남부순환로378길 11,13.0
서울특별시 강남구 남부순환로378길 9,13.0
서울특별시 강남구 남부순환로379길 14,28.0
서울특별시 강남구 남부순환로379길 15,26.0
서울특별시 강남구 남부순환로379길 26,26.0
서울특별시 강남구 남부순환로379길 35,19.0
서울특별시 강남구 남부순환로381길 15,20.0
서울특별시 강남구 남부순환로381길 25,19.0
서울특별시 강남구 남부순환로391길 7,31.0
서울특별시 강남구 남부순환로395길 10,32.0
서울특별시 강남구 논현로 205,34.0
서울특별시 강남구 논현로 209,17.0
서울특별시 강남구 논현로 213,27.0
서울특별시 강남구 논현로 218,39.0
서울특별시 강남구 논현로 565,23.0
서울특별시 강남구 논현로101길 6,20.0
서울특별시 강남구 논현로102길 4,18.0
서울특별시 강남구 논현로105길 52,26.0
서울특별시 강남구 논현로111길 34,11.0
서울특별시 강남구 논현로111길 39,17.0
서울특별시 강남구 논현로113길 5,18.0
서울특별시 강남구 논현로124길 28,17.0
서울특별시 강남구 논현로124길 7,19.0
서울특별시 강남구 논현로124길 8,18.0
서울특별시 강남구 논현로140길 22,24.0
서울특별시 강남구 논현로151길 45,20.0
서울특별시 강남구 논현로153길 42,18.0
서울특별시 강남구 논현로154길 11,19.0
