dong,dong_num
성수동1가,0.0
홍익동,1.0
연희동,2.0
홍제동,3.0
구산동,4.0
원효로4가,5.0
아현동,6.0
상암동,7.0
신림동,8.0
묵정동,9.0
반포동,10.0
남현동,11.0
면목동,12.0
쌍문동,13.0
화곡동,14.0
영등포동4가,15.0
구로동,16.0
시흥동,17.0
고척동,18.0
가양동,19.0
신월동,20.0
영등포동1가,21.0
서교동,22.0
청담동,23.0
망원동,24.0
이촌동,25.0
수유동,26.0
망우동,27.0
월계동,28.0
미아동,29.0
자양동,30.0
정릉동,31.0
종암동,32.0
신도림동,33.0
봉천동,34.0
일원동,35.0
목동,12.0
장안동,37.0
신천동,38.0
돈암동,39.0
신내동,40.0
명일동,41.0
도곡동,42.0
방배동,43.0
대치동,44.0
가락동,45.0
문정동,46.0
성내동,47.0
당산동,48.0
대흥동,49.0
신사동,50.0
상계동,51.0
석관동,52.0
하월곡동,53.0
평창동,54.0
용두동,55.0
안암동1가,56.0
하계동,57.0
상왕십리동,58.0
고덕동,59.0
마천동,60.0
방이동,61.0
천연동,62.0
대조동,63.0
대방동,64.0
방화동,65.0
양평동3가,66.0
방학동,67.0
성수동2가,68.0
금호동1가,69.0
천호동,70.0
오금동,71.0
신정동,72.0
대현동,73.0
장지동,74.0
도봉동,75.0
암사동,76.0
공릉동,77.0
신대방동,78.0
길음동,79.0
동선동1가,80.0
신당동,81.0
옥수동,82.0
염창동,83.0
등촌동,84.0
둔촌동,85.0
서초동,86.0
불광동,87.0
중동,88.0
창전동,89.0
여의도동,90.0
수색동,91.0
상도동,92.0
삼선동3가,93.0
한강로3가,94.0
홍은동,95.0
중계동,96.0
충무로5가,97.0
개포동,98.0
개봉동,99.0
마곡동,100.0
녹번동,101.0
사당동,102.0
인현동2가,103.0
진관동,104.0
양평동5가,105.0
창동,54.0
광장동,107.0
우이동,108.0
압구정동,109.0
풍납동,110.0
잠실동,111.0
행당동,112.0
중곡동,113.0
대림동,114.0
청량리동,115.0
가산동,116.0
영등포동2가,117.0
신길동,118.0
금호동2가,119.0
길동,118.0
내발산동,121.0
갈현동,122.0
회현동1가,123.0
오류동,124.0
노량진동,125.0
답십리동,126.0
휘경동,127.0
거여동,128.0
잠원동,129.0
군자동,130.0
영등포동8가,131.0
남가좌동,132.0
회기동,133.0
상봉동,134.0
전농동,135.0
합정동,136.0
독산동,137.0
한남동,138.0
삼성동,139.0
우면동,140.0
당산동5가,141.0
역삼동,142.0
동작동,143.0
응암동,144.0
송파동,145.0
도화동,146.0
금호동4가,147.0
천왕동,148.0
묵동,149.0
신공덕동,150.0
구의동,151.0
응봉동,152.0
마장동,153.0
양재동,154.0
이태원동,155.0
중림동,156.0
당산동3가,157.0
문래동4가,158.0
번동,101.0
공덕동,150.0
북아현동,161.0
충정로3가,162.0
영등포동,15.0
본동,164.0
신원동,165.0
황학동,166.0
문래동3가,167.0
역촌동,168.0
영등포동3가,169.0
이문동,170.0
안암동3가,171.0
성산동,172.0
한강로1가,173.0
마포동,174.0
보문동3가,175.0
사직동,176.0
온수동,177.0
창신동,178.0
내수동,179.0
염리동,180.0
숭인동,181.0
당산동4가,182.0
효창동,183.0
논현동,184.0
용답동,185.0
증산동,186.0
내곡동,187.0
미근동,188.0
상수동,189.0
중화동,190.0
도림동,33.0
성북동,192.0
북가좌동,193.0
삼선동2가,194.0
