구,동,brand_name,brand_name_int,years_use
강남구,개포동,우성6차아파트,4546,35
강남구,개포동,우성3차아파트,4543,38
강남구,개포동,개포LG자이아파트,292,18
강남구,개포동,개포프레지던스자이아파트 (2023년02월예정),301,40
강남구,개포동,개포주공5단지아파트,299,39
강남구,개포동,개포주공7단지아파트,300,39
강남구,개포동,개포현대아파트(200동),303,36
강남구,개포동,리치타운아파트,1859,18
강남구,개포동,대치1단지아파트,1215,30
강남구,개포동,달터근린공원 공원관리소,1024,38
강남구,개포동,에버그린,4159,19
강남구,개포동,우성8차아파트,4547,35
강남구,개포동,우성9차아파트,4548,31
강남구,개포동,우찬현대아파트,4592,16
강남구,개포동,현대1차아파트,6189,38
강남구,개포동,현대2차아파트,6190,36
강남구,논현동,프라임아파트(196-4번지),5844,26
강남구,논현동,골든캐슬,451,13
강남구,논현동,논현동한화꿈에그린아파트,910,17
강남구,논현동,논현베르빌,913,20
강남구,논현동,논현웰스톤,920,13
강남구,논현동,강남파라곤아파트,197,15
강남구,논현동,프라임아파트(196-4번지),5844,16
강남구,논현동,논현동부센트레빌아파트,908,19
강남구,논현동,논현동양파라곤아파트,909,18
강남구,논현동,마일스디오빌아파트,1920,18
강남구,논현동,논현신동아파밀리에아파트,916,25
강남구,논현동,아크로힐스논현아파트,4071,8
강남구,논현동,이움아파트,4843,17
강남구,논현동,청학아파트,5517,46
강남구,논현동,프라임아파트(80-13),5845,18
강남구,논현동,논현한진로즈힐아파트,923,18
강남구,논현동,논현한화꿈에그린2차아파트,924,16
강남구,대치동,개포우성1차아파트,295,39
강남구,대치동,대치우정에쉐르1아파트,1229,18
강남구,대치동,대치삼성1차아파트,1223,22
강남구,대치동,대치아이파크아파트,1228,14
강남구,대치동,대치한신휴플러스아파트,1238,17
강남구,대치동,대치현대아파트,1239,23
강남구,대치동,대치래미안하이스턴아파트,1220,33
강남구,대치동,래미안대치팰리스1단지아파트,1679,7
강남구,대치동,대치롯데캐슬리베아파트,1221,14
강남구,대치동,대치삼성2차아파트,1224,23
강남구,대치동,선릉역대우아이빌5차아파트,3297,18
강남구,대치동,미소시티아파트,2248,16
강남구,대치동,대치쌍용1차아파트,1226,39
강남구,대치동,아름빌아파트,4027,19
강남구,대치동,우정에쉐르,4586,18
강남구,대치동,은마아파트,4732,43
강남구,대치동,테헤란로대우아이빌아파트,5703,18
강남구,대치동,풍림아이원아파트,5822,19
강남구,대치동,하이캐슬아파트,5902,14
강남구,대치동,"한보미도맨션1,2차아파트",5990,39
강남구,대치동,"한보미도맨션1,2차아파트",5990,37
강남구,대치동,한티아파트,6113,18
강남구,대치동,S-TOWER아파트,74,26
강남구,도곡동,도곡경남아파트,1286,17
강남구,도곡동,도곡대림아크로빌아파트,1288,23
강남구,도곡동,대우양재디오빌아파트,1175,18
강남구,도곡동,도곡아이파크1차아파트,1298,15
강남구,도곡동,도곡아이파크2차아파트,1299,16
강남구,도곡동,도곡아이파크3차아파트,1300,15
강남구,도곡동,도곡렉슬아파트,1292,16
강남구,도곡동,극동스타클래스아파트,671,15
강남구,도곡동,도곡쌍용예가아파트,1297,44
강남구,도곡동,도곡푸르지오아파트(102동),1308,16
강남구,도곡동,아파트(12세대),4077,26
강남구,도곡동,래미안도곡카운티아파트,1680,6
강남구,도곡동,역삼럭키아파트,4236,27
강남구,도곡동,롯데캐슬모닝아파트,1785,19
강남구,도곡동,매봉삼성아파트,1972,23
강남구,도곡동,도곡삼성래미안아파트,1293,21
강남구,도곡동,도곡삼익아파트,1294,39
강남구,도곡동,아카데미스위트아파트,4060,18
강남구,도곡동,도곡우성아파트,1301,36
강남구,도곡동,개포우성4차아파트,297,37
강남구,도곡동,우성리빙텔아파트,4551,26
강남구,도곡동,개포우성5차아파트,298,36
강남구,도곡동,우성캐릭터199아파트,4561,24
강남구,도곡동,중명하니빌아파트,5208,25
강남구,도곡동,타워팰리스1차아파트,5605,20
강남구,도곡동,타워팰리스2차아파트,5606,19
강남구,도곡동,타워팰리스3차아파트,5607,18
강남구,도곡동,도곡현대하이페리온아파트,1312,18
강남구,도곡동,도곡한라비발디아파트,1309,6
강남구,도곡동,도곡한신아파트,1310,34
강남구,도곡동,현대비젼21아파트,6221,23
강남구,도곡동,도곡현대아파트,1311,28
강남구,삼성동,선릉LG에클라트B오피스텔,3295,18
강남구,삼성동,강변삼부아파트,230,22
강남구,삼성동,삼성대우멤버스카운티5차오피스텔,2761,17
강남구,삼성동,래미안삼성2차아파트,1693,15
강남구,삼성동,삼성래미안1단지아파트,2769,17
강남구,삼성동,미켈란107아파트,2268,19
강남구,삼성동,삼부아그레빌아파트,2739,19
강남구,삼성동,삼성동골든빌아파트,2764,24
강남구,삼성동,삼부아파트(101동),2741,24
강남구,삼성동,삼성롯데캐슬킹덤아파트,2776,17
강남구,삼성동,삼성팰리스아파트(129-5),2811,18
강남구,삼성동,삼성라테라스아파트,2768,9
강남구,삼성동,브라운스톤레전드아파트,2645,13
강남구,삼성동,신도브래뉴아파트,3744,12
강남구,삼성동,삼성동중앙하이츠빌리지아파트,2767,18
강남구,삼성동,한솔아파트,6017,24
강남구,삼성동,삼성힐스테이트1단지아파트,2825,14
강남구,삼성동,삼성파크아파트,2809,21
강남구,삼성동,삼성래미안1단지아파트,2769,24
강남구,삼성동,래미안 라클래식,1670,41
강남구,삼성동,서광아파트,3083,24
강남구,삼성동,영무예다음아파트,4333,16
강남구,삼성동,청구아파트,5399,32
강남구,삼성동,푸른솔아파트,5811,26
강남구,삼성동,현대아파트,6238,23
강남구,삼성동,삼성힐스테이트2단지아파트,2826,14
강남구,삼성동,홍실재건축아파트 (예정),6335,41
강남구,세곡동,강남데시앙파크5단지아파트,183,11
강남구,세곡동,강남신동아파밀리에1단지아파트,187,11
강남구,세곡동,강남엘에이치1단지,191,9
강남구,세곡동,세곡리엔파크3단지아파트,3421,11
강남구,세곡동,세곡푸르지오아파트,3422,10
강남구,수서동,강남데시앙포레,184,8
강남구,수서동,까치마을아파트,774,29
강남구,수서동,동익아파트,1503,29
강남구,수서동,삼성아파트,2795,25
강남구,수서동,삼익아파트,2849,30
강남구,수서동,수서한아름아파트,3584,29
강남구,수서동,신동아아파트,3758,30
강남구,신사동,리갈팰리스아파트,1813,15
강남구,신사동,금강아크존II아파트,692,17
강남구,신사동,닛시빌라트,959,20
강남구,신사동,압구정아인빌아파트,4090,15
강남구,신사동,대원칸타빌아파트,1197,21
강남구,신사동,장자울아파트,5036,18
강남구,압구정동,한양1차아파트,6056,45
강남구,압구정동,한양4차아파트,6060,44
강남구,압구정동,한양6차아파트,6062,42
강남구,압구정동,현대3차아파트,6191,46
강남구,역삼동,역삼e편한세상아파트,4226,17
강남구,역삼동,역삼종합시장더블루아파트,4251,10
강남구,역삼동,개나리푸르지오아파트,279,16
강남구,역삼동,역삼센트럴IPARK아파트 (2022년04월예정),4241,43
강남구,역삼동,개나리SK뷰아파트,276,10
강남구,역삼동,개나리래미안아파트,277,16
강남구,역삼동,경남아파트,362,20
강남구,역삼동,역삼금호어울림아파트,4228,19
강남구,역삼동,노블스위트아파트,880,19
강남구,역삼동,대림역삼아파트,1093,25
강남구,역삼동,디오빌역삼아파트,1637,20
강남구,역삼동,대우디오빌플러스아파트,1167,18
강남구,역삼동,개나리SK뷰아파트,276,24
강남구,역삼동,역삼래미안그레이튼3차아파트,4234,13
강남구,역삼동,역삼래미안그레이튼1단지아파트,4233,12
강남구,역삼동,래미안펜타빌아파트,1727,15
강남구,역삼동,역삼롯데캐슬노블아파트,4237,15
강남구,역삼동,명인갤러리2차아파트,2038,18
강남구,역삼동,역삼브라운스톤아파트,4239,18
강남구,역삼동,세방하이빌아파트,3441,19
강남구,역삼동,쌍용플래티넘밸류아파트,3995,15
강남구,역삼동,역삼1차아이파크아파트,4224,16
강남구,역삼동,역삼2차아이파크아파트,4225,14
강남구,역삼동,역삼프라임아파트,4256,17
강남구,역삼동,역삼하나빌아파트,4258,20
강남구,역삼동,역삼래미안아파트,4235,17
강남구,역삼동,역삼르비앙아파트,4238,19
강남구,역삼동,역삼우성아파트,4246,17
강남구,역삼동,역삼이안애,4248,18
강남구,역삼동,역삼자이아파트,4250,6
강남구,역삼동,역삼푸르지오아파트,4255,16
강남구,역삼동,세연예지향아파트,3449,19
강남구,역삼동,요진와이시티미니,4475,10
강남구,역삼동,역삼우성빌라트,4245,26
강남구,역삼동,은하수아파트,4788,30
강남구,역삼동,강남역이스턴오피스텔,193,8
강남구,역삼동,정원아파트,5087,18
강남구,역삼동,조이너스아파트,5131,16
강남구,역삼동,진넥스빌2아파트,5247,19
