동,동_int
개포동,8
논현동,37
대치동,46
도곡동,49
삼성동,99
세곡동,116
수서동,119
신사동,134
압구정동,146
역삼동,150
율현동,174
일원동,183
자곡동,184
청담동,211
강동,6
미아동,79
번동,85
수유동,121
우이동,171
가양동,3
공항동,14
내발산동,31
등촌동,63
마곡동,64
방화동,84
염창동,157
화곡동,238
남현동,29
봉천동,89
신림동,133
광장동,15
구의동,22
군자동,23
자양동,185
중곡동,199
화양동,239
가리봉동,1
개봉동,7
고척동,11
구로동,19
신도림동,132
오류동,162
온수동,165
천왕동,210
항동,230
가산동,2
독산동,54
시흥동,124
공릉동,13
상계동,101
월계동,173
중계동,198
하계동,224
도봉동,51
방학동,83
쌍문동,143
창동,205
답십리동,40
용두동,167
이문동,176
장안동,188
전농동,192
제기동,195
청량리동,212
회기동,241
휘경동,246
노량진동,35
대방동,44
동작동,62
본동,88
사당동,94
상도1동,102
상도동,103
신대방동,131
흑석동,247
공덕동,12
노고산동,34
대흥동,48
도화동,53
마포동,66
망원동,69
상수동,105
상암동,106
서교동,108
성산동,115
신공덕동,126
신수동,136
신정동,140
아현동,144
연남동,153
염리동,156
용강동,166
중동,200
창전동,207
토정동,217
하중동,226
합정동,229
현석동,232
남가좌동,26
냉천동,33
대현동,47
북가좌동,91
북아현동,92
연희동,155
영천동,159
창천동,208
천연동,209
,249
합동,228
현저동,233
홍은동,235
홍제동,236
내곡동,30
반포동,80
방배동,81
서초동,110
신원동,138
양재동,147
우면동,170
잠원동,187
성동,113
길음동,25
돈암동,55
동선동,58
동소문동,59
보문동,87
삼선동,98
상월곡동,107
석관동,111
성북동,114
안암동,145
장위동,189
정릉동,194
종암동,196
하월곡동,225
가락동,0
거여동,9
마천동,65
문정동,77
방이동,82
삼전동,100
석촌동,112
송파동,117
신천동,142
오금동,161
잠실동,186
장지동,190
풍납동,221
목동,71
신월동,139
당산동,41
대림동,43
도림동,50
문래동,75
신길동,128
양평동,148
여의도동,149
영등포동,158
도원동,52
동빙고동,57
동자동,61
문배동,76
보광동,86
산천동,97
서빙고동,109
신계동,125
용문동,168
용산동,169
이촌동,177
이태원동,178
청암동,213
한남동,227
효창동,244
후암동,245
갈현동,5
구산동,20
녹번동,36
대조동,45
불광동,93
수색동,118
역촌동,151
응암동,175
증산동,203
진관동,204
교남동,16
내수동,32
누상동,38
당주동,42
동숭동,60
무악동,72
사직동,95
숭인동,123
신영동,137
익선동,180
인의동,181
창신동,206
평창동,220
효제동,243
만리동,67
묵정동,74
순화동,122
신당동,130
인현동,182
중림동,201
황학동,240
회현동,242
흥인동,248
망우동,68
면목동,70
묵동,73
상봉동,104
신내동,129
중화동,202
궁동,24
신설동,135
동교동,56
미근동,78
신창동,141
주성동,197
청파동,215
견지동,10
교북동,17
연건동,152
옥인동,164
청운동,214
충신동,216
필운동,223
행촌동,231
혜화동,234
홍파동,237
남창동,28
산림동,96
예장동,160
장충동,191
능동,39
갈월동,4
구기동,18
부암동,90
이화동,179
평동,219
오장동,163
정동,193
필동,222
신교동,127
연지동,154
원남동,172
남산동,27
구수동,21
수송동,120
통인동,218
